Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr
AC023202.1,ENSG00000253891,8,24177080,24169001,-,-0.0438
INTS9,ENSG00000104299,8,28890242,28767661,-,-0.0693
FUT10,ENSG00000172728,8,33473146,33370824,-,-0.0391
TTI2,ENSG00000129696,8,33513601,33473386,-,-0.0126
RAB11FIP1,ENSG00000156675,8,37899497,37858618,-,-0.0635
PLAT,ENSG00000104368,8,42207676,42174718,-,0.0703
SDR16C5,ENSG00000170786,8,56320776,56300010,-,-0.045
NSMAF,ENSG00000035681,8,58659853,58583508,-,-0.1012
VCPIP1,ENSG00000175073,8,66667231,66628487,-,-0.0136
SYBU,ENSG00000147642,8,109691791,109573978,-,-0.1255
ENPP2,ENSG00000136960,8,119673453,119557086,-,0.0346
TMEM65,ENSG00000164983,8,124372692,124306189,-,-0.0605
ST3GAL1,ENSG00000008513,8,133571940,133454848,-,-0.1574
TRAPPC9,ENSG00000167632,8,140458579,139727725,-,-0.0405
PTK2,ENSG00000169398,8,141002216,140657900,-,-0.0782
TSNARE1,ENSG00000171045,8,142403182,142212080,-,-0.0646
LY6E-DT,ENSG00000247317,8,143018437,142981738,-,-0.0453
TOP1MT,ENSG00000184428,8,143359979,143304384,-,-0.1096
ZC3H3,ENSG00000014164,8,143541447,143437659,-,-0.0984
PYCR3,ENSG00000104524,8,143609773,143603210,-,-0.0305
SCRIB,ENSG00000180900,8,143815773,143790920,-,-0.0024
PLEC,ENSG00000178209,8,143976734,143915147,-,-0.1249
PARP10,ENSG00000178685,8,144012772,143977153,-,-0.0328
DGAT1,ENSG00000185000,8,144326910,144314584,-,-0.0075
CYHR1,ENSG00000187954,8,144465677,144449582,-,-0.0573
ZNF34,ENSG00000196378,8,144787345,144773114,-,-0.1256
AF235103.3,ENSG00000286681,8,144869489,144854875,-,-0.0336
ZNF252P,ENSG00000196922,8,145002895,144973589,-,-0.0806
AC246817.1,ENSG00000253853,8,2926689,2726956,+,-0.0434
FAM86B3P,ENSG00000173295,8,8244865,8228595,+,-0.0285
AC022784.1,ENSG00000248538,8,9425524,9151695,+,-0.0249
TNKS,ENSG00000173273,8,9782346,9555912,+,-0.1019
ASH2L,ENSG00000129691,8,38144076,38105493,+,-0.066
HGSNAT,ENSG00000165102,8,43202855,43140464,+,-0.1276
DNAJC5B,ENSG00000147570,8,66101245,66021553,+,-0.0617
AC083837.1,ENSG00000285744,8,78956082,78805293,+,-0.0871
ZBTB10,ENSG00000205189,8,80526265,80485619,+,-0.0644
AC079209.1,ENSG00000253214,8,81165266,81149107,+,-0.046
CHMP4C,ENSG00000164695,8,81759515,81732448,+,-0.0448
CA13,ENSG00000185015,8,85284073,85220587,+,-0.0475
CA3,ENSG00000164879,8,85449040,85373436,+,-0.0453
GASAL1,ENSG00000253669,8,102810039,102805517,+,0.0584
ZHX2,ENSG00000178764,8,122974510,122781655,+,-0.1498
ZNF696,ENSG00000185730,8,143299952,143289676,+,-0.0534
RHPN1,ENSG00000158106,8,143384221,143368876,+,-0.0411
GSDMD,ENSG00000104518,8,143563062,143553207,+,-0.037
MROH1,ENSG00000179832,8,144261940,144148016,+,-0.001
LRRC14,ENSG00000160959,8,144525172,144517992,+,-0.0389
RFX3,ENSG00000080298,9,3526004,3218297,-,-0.1012
SPATA6L,ENSG00000106686,9,4666674,4553386,-,-0.0091
INSL6,ENSG00000120210,9,5185647,5123880,-,-0.0427
LINC00032,ENSG00000283945,9,27284869,27245680,-,-0.0368
MOB3B,ENSG00000120162,9,27529814,27325209,-,-0.0843
DDX58,ENSG00000107201,9,32526208,32455302,-,-0.1128
UBAP2,ENSG00000137073,9,34048949,33921693,-,0.0082
CD72,ENSG00000137101,9,35646810,35609533,-,-0.2086
SIT1,ENSG00000137078,9,35650950,35649295,-,-0.1803
GBA2,ENSG00000070610,9,35749228,35736866,-,0.0022
SPAG8,ENSG00000137098,9,35812272,35808045,-,-0.0476
ZBTB5,ENSG00000168795,9,37465450,37438102,-,-0.0419
PTAR1,ENSG00000188647,9,69760011,69709522,-,-0.0423
CEMIP2,ENSG00000135048,9,71816690,71683366,-,-0.1611
AL161912.1,ENSG00000232494,9,79886678,79874696,-,-0.0127
LINC01501,ENSG00000229613,9,90583821,90462899,-,0.1005
FBP1,ENSG00000165140,9,94640249,94603133,-,-0.0423
FANCC,ENSG00000158169,9,95426796,95099054,-,-0.0231
MFSD14C,ENSG00000196312,9,97013708,96887373,-,-0.0607
TSTD2,ENSG00000136925,9,97633368,97600080,-,-0.0737
CORO2A,ENSG00000106789,9,98192637,98120975,-,-0.0298
TBC1D2,ENSG00000095383,9,98255649,98199011,-,-0.0425
ANKS6,ENSG00000165138,9,98796965,98731329,-,0.0112
TMEM245,ENSG00000106771,9,109119947,109015135,-,-0.092
C9orf152,ENSG00000188959,9,110208189,110190048,-,0.0116
SUSD1,ENSG00000106868,9,112175408,112040785,-,-0.0132
FKBP15,ENSG00000119321,9,113221318,113161006,-,-0.0419
HDHD3,ENSG00000119431,9,113376999,113373419,-,-0.0518
MEGF9,ENSG00000106780,9,120714470,120600811,-,-0.0322
SH2D3C,ENSG00000095370,9,127778710,127738317,-,-0.1486
ENG,ENSG00000106991,9,127854756,127815012,-,0.0054
PIP5KL1,ENSG00000167103,9,127930785,127920881,-,-0.0178
FAM102A,ENSG00000167106,9,127980989,127940582,-,-0.1351
NAIF1,ENSG00000171169,9,128068206,128061233,-,-0.0444
HMGA1P4,ENSG00000234705,9,128684477,128663134,-,-0.0584
AL441992.2,ENSG00000286112,9,128881931,128819663,-,-0.0519
CRAT,ENSG00000095321,9,129111189,129094794,-,-0.0271
ASB6,ENSG00000148331,9,129642169,129634604,-,-0.0643
AL158207.1,ENSG00000224988,9,129884170,129883693,-,-0.0455
UCK1,ENSG00000130717,9,131531264,131523801,-,0.0294
DDX31,ENSG00000125485,9,132670401,132592997,-,-0.0345
AK8,ENSG00000165695,9,132878777,132725578,-,-0.0325
REXO4,ENSG00000148300,9,133418096,133406059,-,-0.0446
SLC2A6,ENSG00000160326,9,133479127,133471094,-,-0.1203
UBAC1,ENSG00000130560,9,135961373,135932969,-,-0.0081
LINC02846,ENSG00000260193,9,136109424,136107808,-,-0.0309
INPP5E,ENSG00000148384,9,136439845,136428619,-,-0.0637
PNPLA7,ENSG00000130653,9,137550402,137459952,-,-0.0434
DPH7,ENSG00000148399,9,137578925,137554444,-,-0.0941
ACER2,ENSG00000177076,9,19452505,19409009,+,0.0
ACO1,ENSG00000122729,9,32454769,32384603,+,-0.0697
TMEM8B,ENSG00000137103,9,35865518,35814451,+,-0.0729
POLR1E,ENSG00000137054,9,37503697,37485948,+,0.0017
PIP5K1B,ENSG00000107242,9,69009176,68705240,+,-0.0727
FGD3,ENSG00000127084,9,93036236,92947523,+,-0.181
PHF2,ENSG00000197724,9,93679587,93576584,+,-0.0419
PTPDC1,ENSG00000158079,9,94109856,94030794,+,-0.0286
ZNF169,ENSG00000175787,9,94301829,94259298,+,-0.064
RNF20,ENSG00000155827,9,101563344,101533853,+,-0.0427
PRPF4,ENSG00000136875,9,113292905,113275343,+,-0.0172
BSPRY,ENSG00000119411,9,113371233,113349541,+,0.0115
RGS3,ENSG00000138835,9,113597743,113444731,+,-0.0149
GSN,ENSG00000148180,9,121332843,121207794,+,-0.1011
PTGS1,ENSG00000095303,9,122395703,122370530,+,-0.1233
NEK6,ENSG00000119408,9,124353307,124257606,+,-0.122
PBX3,ENSG00000167081,9,125967377,125747345,+,-0.0649
MVB12B,ENSG00000196814,9,126507041,126326829,+,-0.0321
ZNF79,ENSG00000196152,9,127445372,127424374,+,-0.0588
LRSAM1,ENSG00000148356,9,127503501,127451486,+,-0.0929
DNM1,ENSG00000106976,9,128255248,128191655,+,-0.0279
SLC27A4,ENSG00000167114,9,128361470,128340527,+,0.0083
ODF2,ENSG00000136811,9,128501292,128455186,+,-0.0645
GLE1,ENSG00000119392,9,128542288,128504700,+,-0.0119
SPTAN1,ENSG00000197694,9,128633662,128552558,+,-0.1488
PKN3,ENSG00000160447,9,128720916,128702503,+,0.0561
TBC1D13,ENSG00000107021,9,128810430,128787253,+,-0.0801
PHYHD1,ENSG00000175287,9,128942041,128920966,+,-0.0125
NUP188,ENSG00000095319,9,129007096,128947699,+,-0.0925
MIGA2,ENSG00000148343,9,129072082,129036621,+,-0.0276
USP20,ENSG00000136878,9,129881838,129834698,+,-0.0417
EXOSC2,ENSG00000130713,9,130704894,130693721,+,-0.0365
ABL1,ENSG00000097007,9,130887675,130713016,+,-0.055
LAMC3,ENSG00000050555,9,131094473,131009174,+,-0.0382
AL157938.1,ENSG00000226987,9,131241724,131240687,+,-0.0035
PRRC2B,ENSG00000130723,9,131500197,131373636,+,-0.1071
CFAP77,ENSG00000188523,9,132573317,132410043,+,-0.0066
GTF3C4,ENSG00000125484,9,132694953,132670035,+,-0.024
ADAMTS13,ENSG00000160323,9,133459402,133414358,+,0.0297
CACFD1,ENSG00000160325,9,133470848,133459965,+,-0.0478
UAP1L1,ENSG00000197355,9,137084539,137077517,+,-0.0546
TUBBP5,ENSG00000159247,9,138177433,138150075,+,-0.0552
ASMTL,ENSG00000169093,X,1453762,1403139,-,-0.0454
ARSD,ENSG00000006756,X,2929349,2903972,-,-0.0038
MID1,ENSG00000101871,X,10833654,10445310,-,-0.0312
CTPS2,ENSG00000047230,X,16712936,16587999,-,-0.0147
MAP3K15,ENSG00000180815,X,19515261,19360056,-,-0.0501
MAP7D2,ENSG00000184368,X,20116907,20006713,-,-0.0296
RPS6KA3,ENSG00000177189,X,20267519,20149911,-,-0.0699
AC131011.1,ENSG00000233785,X,23782956,23772992,-,-0.0352
DMD,ENSG00000198947,X,33339441,31097677,-,-0.0617
CASK,ENSG00000147044,X,41923645,41514934,-,-0.0385
ZNF41,ENSG00000147124,X,47482946,47445879,-,-0.0257
KCND1,ENSG00000102057,X,48971844,48961378,-,-0.0746
GPKOW,ENSG00000068394,X,49123735,49113407,-,-0.0312
PRICKLE3,ENSG00000012211,X,49186528,49174802,-,-0.0308
CACNA1F,ENSG00000102001,X,49233371,49205063,-,-0.0543
AC233976.1,ENSG00000229151,X,51396462,51190598,-,-0.0534
PHF8,ENSG00000172943,X,54048958,53936676,-,-0.0733
FAM120C,ENSG00000184083,X,54183281,54068324,-,-0.0495
PFKFB1,ENSG00000158571,X,54998534,54932961,-,-0.0091
MTMR8,ENSG00000102043,X,64395452,64268081,-,-0.0183
ZC4H2,ENSG00000126970,X,65034713,64915802,-,-0.0683
LAS1L,ENSG00000001497,X,65534775,65512582,-,-0.048
CXCR3,ENSG00000186810,X,71618511,71615916,-,-0.1937
HDX,ENSG00000165259,X,84502479,84317874,-,-0.0851
TAF7L,ENSG00000102387,X,101293057,101268253,-,0.0357
ELF4,ENSG00000102034,X,130110716,130064874,-,-0.073
PLAC1,ENSG00000170965,X,134764322,134565838,-,0.0477
ARHGEF6,ENSG00000129675,X,136780932,136665547,-,-0.1141
CD99L2,ENSG00000102181,X,150898816,150766336,-,0.0466
TREX2,ENSG00000183479,X,153470587,153444720,-,-0.0427
RENBP,ENSG00000102032,X,153944687,153935269,-,-0.0358
MECP2,ENSG00000169057,X,154137103,154021573,-,-0.0927
AC245140.1,ENSG00000231830,X,154335037,154333960,-,0.0379
FLNA,ENSG00000196924,X,154374638,154348524,-,-0.1651
SLC10A3,ENSG00000126903,X,154490690,154487306,-,-0.0276
GAB3,ENSG00000160219,X,154751583,154675249,-,-0.0874
MPP1,ENSG00000130830,X,154821007,154778684,-,-0.0433
F8,ENSG00000185010,X,155026940,154835788,-,-0.0387
WWC3,ENSG00000047644,X,10144478,10015562,+,-0.0501
CLCN4,ENSG00000073464,X,10237660,10156945,+,-0.025
PHEX,ENSG00000102174,X,22251310,22032325,+,-0.0269
JADE3,ENSG00000102221,X,47061242,46912276,+,-0.0963
USP11,ENSG00000102226,X,47248328,47232690,+,-0.2264
TBC1D25,ENSG00000068354,X,48562609,48539714,+,-0.0705
HDAC6,ENSG00000094631,X,48824982,48801377,+,-0.0576
CCDC22,ENSG00000101997,X,49250520,49235470,+,-0.0077
KLF8,ENSG00000102349,X,56291531,56232356,+,-0.0896
MED12,ENSG00000184634,X,71142454,71118556,+,-0.1265
ITGB1BP2,ENSG00000147166,X,71305371,71301750,+,0.0021
ZNF711,ENSG00000147180,X,85273362,85244032,+,-0.1209
FRMPD3,ENSG00000147234,X,107605251,107522450,+,-0.0196
VSIG1,ENSG00000101842,X,108079184,108044970,+,-0.0163
WDR44,ENSG00000131725,X,118449961,118346073,+,-0.092
IL13RA1,ENSG00000131724,X,118794535,118727133,+,-0.0982
SLC25A43,ENSG00000077713,X,119454478,119399336,+,-0.0331
AL390879.1,ENSG00000234062,X,137022143,136909369,+,-0.0418
TMEM187,ENSG00000177854,X,153983194,153972754,+,-0.073
PLXNA3,ENSG00000130827,X,154477779,154458281,+,-0.0782
UTY,ENSG00000183878,Y,13480673,13248379,-,-0.1455
BCORP1,ENSG00000215580,Y,19567092,19455431,-,-0.0691
KDM5D,ENSG00000012817,Y,19744939,19703865,-,-0.1872
TTTY10,ENSG00000229236,Y,20575519,20464916,-,-0.0929
PRKY,ENSG00000099725,Y,7381548,7273972,+,-0.0608
ANOS2P,ENSG00000241859,Y,13915824,13703902,+,-0.0149
NLGN4Y,ENSG00000165246,Y,14845650,14522573,+,-0.0756
AATF,ENSG00000275700,17,37056871,36948954,+,0.0201
ABRAXAS1,ENSG00000163322,4,83523348,83459517,-,-0.0892
ABRAXAS2,ENSG00000165660,10,124836667,124801819,+,-0.0785
ACTR1A,ENSG00000138107,10,102502712,102461881,-,0.1407
ACTR2,ENSG00000138071,2,65271253,65227753,+,-0.1366
ACTR3,ENSG00000115091,2,113962596,113890063,+,-0.0321
ACTR8,ENSG00000113812,3,53882152,53867066,-,0.0237
ACVR1,ENSG00000115170,2,157875862,157736444,-,0.1183
ACVR1B,ENSG00000135503,12,51997078,51951699,+,0.0972
ADAM10,ENSG00000137845,15,58749791,58588809,-,-0.0479
ADAM17,ENSG00000151694,2,9556732,9488486,-,-0.0411
ADAMTS1,ENSG00000154734,21,26845409,26835755,-,
ADARB1,ENSG00000197381,21,45226560,45073853,+,0.018
ADCYAP1,ENSG00000141433,18,912172,904871,+,0.0422
AHCTF1,ENSG00000153207,1,246931967,246839098,-,-0.0186
AHR,ENSG00000106546,7,17346152,16916359,+,0.0199
AICDA,ENSG00000111732,12,8612867,8602170,-,
AIF1,ENSG00000204472,6,31617021,31615217,+,
AJUBA,ENSG00000129474,14,22982551,22971177,-,
AKAP8,ENSG00000105127,19,15379798,15353385,-,-0.0318
AKAP8L,ENSG00000011243,19,15419141,15380050,-,0.023
AKAP9,ENSG00000127914,7,92110673,91940867,+,-0.2066
AKT1,ENSG00000142208,14,104795751,104769349,-,0.0243
AKT2,ENSG00000105221,19,40285536,40230317,-,-0.066
ALKBH4,ENSG00000160993,7,102464863,102456238,-,-0.005
ALMS1,ENSG00000116127,2,73625166,73385758,+,-0.0261
ALOX15B,ENSG00000179593,17,8049134,8039034,+,
ANAPC1,ENSG00000153107,2,111884690,111611639,-,-0.0441
ANAPC10,ENSG00000164162,4,145098541,144831908,-,0.0301
ANAPC11,ENSG00000141552,17,81900991,81890790,+,0.2546
ANAPC13,ENSG00000129055,3,134486716,134477706,-,0.1424
ANAPC15,ENSG00000110200,11,72112780,72106378,-,0.1475
ANAPC16,ENSG00000166295,10,72235860,72216000,+,-0.2756
ANAPC2,ENSG00000176248,9,137188560,137174784,-,-0.0463
ANAPC4,ENSG00000053900,4,25418498,25377213,+,-0.0707
ANAPC5,ENSG00000089053,12,121399896,121308245,-,0.1253
ANAPC7,ENSG00000196510,12,110403730,110372900,-,-0.007
ANGEL2,ENSG00000174606,1,213015867,212992182,-,-0.0155
ANKK1,ENSG00000170209,11,113400416,113387779,+,
ANKLE2,ENSG00000176915,12,132761832,132725503,-,-0.1157
ANKRD31,ENSG00000145700,5,75236878,75068275,-,0.0872
ANKRD53,ENSG00000144031,2,70985499,70978380,+,0.0434
ANLN,ENSG00000011426,7,36453791,36389821,+,0.3169
ANXA1,ENSG00000135046,9,73170393,73151865,+,0.0092
ANXA11,ENSG00000122359,10,80205572,80150889,-,-0.0507
APAF1,ENSG00000120868,12,98735433,98645141,+,-0.031
APC,ENSG00000134982,5,112846239,112707498,+,-0.0716
APEX1,ENSG00000100823,14,20457772,20455191,+,-0.0289
APEX2,ENSG00000169188,X,55009057,55000363,+,0.0416
APP,ENSG00000142192,21,26171128,25880550,-,-0.0511
APPL1,ENSG00000157500,3,57278105,57227726,+,-0.0373
ARF1,ENSG00000143761,1,228099212,228082660,+,0.1278
ARF6,ENSG00000165527,14,49897054,49893082,+,-0.1097
ARHGEF10,ENSG00000104728,8,1958641,1823926,+,
ARHGEF2,ENSG00000116584,1,156007070,155946851,-,-0.0784
ARID3A,ENSG00000116017,19,975939,925781,+,0.2012
ARL2,ENSG00000213465,11,65022184,65014160,+,-0.1911
ARL3,ENSG00000138175,10,102714397,102673731,-,-0.0527
ARL8A,ENSG00000143862,1,202144743,202133404,-,-0.006
ARL8B,ENSG00000134108,3,5180912,5122245,+,0.1182
ARNTL,ENSG00000133794,11,13387266,13276652,+,-0.0754
ARPP19,ENSG00000128989,15,52569883,52547045,-,-0.0432
ASAH2,ENSG00000188611,10,50279720,50182778,-,0.0207
ASCL1,ENSG00000139352,12,102960513,102957674,+,-0.0447
ASNS,ENSG00000070669,7,97872542,97851677,-,0.0062
ASPM,ENSG00000066279,1,197146694,197084127,-,0.4535
ASZ1,ENSG00000154438,7,117428123,117363222,-,
ATAD5,ENSG00000176208,17,30895869,30831966,+,0.1113
ATF2,ENSG00000115966,2,175168382,175072250,-,-0.0038
ATF5,ENSG00000169136,19,49933935,49928702,+,0.0202
ATM,ENSG00000149311,11,108369102,108222484,+,-0.1164
ATR,ENSG00000175054,3,142578733,142449007,-,-0.0085
ATRX,ENSG00000085224,X,77786233,77504878,-,-0.188
AUNIP,ENSG00000127423,1,25859458,25831913,-,0.2925
AURKA,ENSG00000087586,20,56392337,56369389,-,0.3256
AURKAIP1,ENSG00000175756,1,1375495,1373730,-,0.3526
AURKB,ENSG00000178999,17,8210600,8204733,-,0.5529
AURKC,ENSG00000105146,19,57235548,57230802,+,0.0
AVEN,ENSG00000169857,15,34039204,33866227,-,0.0235
AVPI1,ENSG00000119986,10,97687241,97677424,-,-0.0187
AXIN2,ENSG00000168646,17,65561648,65528563,-,0.0528
AZI2,ENSG00000163512,3,28349050,28315003,-,0.0584
BABAM1,ENSG00000105393,19,17281249,17267376,+,0.0856
BABAM2,ENSG00000158019,2,28338901,27889941,+,-0.0652
BACH1,ENSG00000156273,21,29630751,29194071,+,-0.0369
BAG6,ENSG00000204463,6,31652705,31639028,-,-0.0332
BAK1,ENSG00000030110,6,33580293,33572547,-,0.2894
BARD1,ENSG00000138376,2,214809683,214725646,-,0.017
BAX,ENSG00000087088,19,48961798,48954815,+,0.0004
BCAT1,ENSG00000060982,12,24949101,24810024,-,-0.0469
BCCIP,ENSG00000107949,10,125853695,125823546,+,0.2591
BCL2,ENSG00000171791,18,63320128,63123346,-,-0.0925
BCL2L1,ENSG00000171552,20,31723989,31664452,-,0.1297
BCL2L11,ENSG00000153094,2,111168445,111119378,+,0.0938
BCL6,ENSG00000113916,3,187745725,187721377,-,-0.0981
BCR,ENSG00000186716,22,23318037,23179704,+,0.0319
BECN1,ENSG00000126581,17,42833350,42810134,-,-0.1204
BEX2,ENSG00000133134,X,103311046,103309346,-,-0.1793
BID,ENSG00000015475,22,17774770,17734138,-,0.3194
BIN1,ENSG00000136717,2,127107288,127048027,-,-0.2912
BIN3,ENSG00000147439,8,22669148,22620418,-,-0.1021
BIRC2,ENSG00000110330,11,102378670,102347211,+,-0.1149
BIRC5,ENSG00000089685,17,78225636,78214186,+,0.6046
BIRC6,ENSG00000115760,2,32618899,32357028,+,-0.0898
BIRC8,ENSG00000163098,19,53291426,53289601,-,
BLCAP,ENSG00000166619,20,37527931,37492472,-,-0.1465
BLM,ENSG00000197299,15,90816166,90717346,+,0.1152
BMI1,ENSG00000168283,10,22331484,22321099,+,-0.0837
BMP2,ENSG00000125845,20,6780246,6767686,+,
BMP4,ENSG00000125378,14,53958761,53949736,-,
BMP7,ENSG00000101144,20,57266641,57168753,-,
BOD1,ENSG00000145919,5,173616659,173607145,-,0.0035
BOD1L2,ENSG00000228075,18,57150410,57147087,+,
BOLL,ENSG00000152430,2,197786762,197726879,-,
BOP1,ENSG00000261236,8,144291438,144262045,-,0.1515
BORA,ENSG00000136122,13,72756198,72727749,+,0.0929
BRCA1,ENSG00000012048,17,43170245,43044295,-,0.1905
BRCA2,ENSG00000139618,13,32400266,32315086,+,0.0808
BRCC3,ENSG00000185515,X,155123074,155071420,+,0.0515
BRD4,ENSG00000141867,19,15332545,15235519,-,-0.1694
BRD7,ENSG00000166164,16,50368934,50313487,-,0.0084
BRDT,ENSG00000137948,1,92014426,91949371,+,0.0843
BRINP1,ENSG00000078725,9,119369435,119153458,-,
BRINP2,ENSG00000198797,1,177282422,177170958,+,-0.0431
BRINP3,ENSG00000162670,1,190478404,190097658,-,
BRIP1,ENSG00000136492,17,61863521,61681266,-,0.016
BRSK1,ENSG00000160469,19,55312562,55282072,+,-0.0109
BRSK2,ENSG00000174672,11,1462689,1389899,+,-0.0382
BTBD18,ENSG00000233436,11,57751781,57743514,-,
BTC,ENSG00000174808,4,74794523,74744759,-,
BTG1,ENSG00000133639,12,92145846,92140278,-,-0.5091
BTG2,ENSG00000159388,1,203309602,203305491,+,-0.3263
BTG3,ENSG00000154640,21,17612947,17593653,-,0.1429
BTG4,ENSG00000137707,11,111512354,111467526,-,
BTN2A2,ENSG00000124508,6,26394874,26383096,+,-0.0896
BTRC,ENSG00000166167,10,101557321,101354033,+,-0.0282
BUB1,ENSG00000169679,2,110678063,110637528,-,0.5568
BUB1B,ENSG00000156970,15,40221136,40161023,+,0.4411
BUB3,ENSG00000154473,10,123170467,123154402,+,0.2036
C10orf90,ENSG00000154493,10,126798708,126424997,-,
C6orf89,ENSG00000198663,6,36928964,36871870,+,0.1449
CAB39,ENSG00000135932,2,230821075,230712842,+,-0.0376
CAB39L,ENSG00000102547,13,49444064,49308650,-,0.1232
CABLES1,ENSG00000134508,18,23260467,23134564,+,0.0577
CABLES2,ENSG00000149679,20,62407285,62388632,-,0.1107
CACUL1,ENSG00000151893,10,118755249,118674167,-,0.0117
CALM1,ENSG00000198668,14,90408268,90396502,+,-0.1713
CALM2,ENSG00000143933,2,47176921,47160083,-,-0.1226
CALM3,ENSG00000160014,19,46610782,46601074,+,0.4338
CALR,ENSG00000179218,19,12944489,12938578,+,0.6221
CAMK1,ENSG00000134072,3,9769992,9757347,-,-0.0082
CAMK2A,ENSG00000070808,5,150290291,150219491,-,
CAMK2N1,ENSG00000162545,1,20486210,20482391,-,
CAPN3,ENSG00000092529,15,42412318,42359500,+,-0.0411
CARM1,ENSG00000142453,19,10923070,10871513,+,0.0362
CASP2,ENSG00000106144,7,143307696,143288215,+,-0.255
CASP3,ENSG00000164305,4,184649509,184627696,-,0.3973
CASP8AP2,ENSG00000118412,6,89874436,89829894,+,-0.0862
CATSPERZ,ENSG00000219435,11,64304770,64300358,+,
CAV2,ENSG00000105971,7,116508541,116287380,+,0.0033
CBX3,ENSG00000122565,7,26213607,26201162,+,0.2921
CBX5,ENSG00000094916,12,54280133,54230942,-,-0.0038
CCAR1,ENSG00000060339,10,68792377,68721012,+,0.0416
CCAR2,ENSG00000158941,8,22621514,22604632,+,-0.0605
CCDC124,ENSG00000007080,19,17943991,17933015,+,0.1702
CCDC57,ENSG00000176155,17,82212830,82101460,-,-0.0275
CCDC69,ENSG00000198624,5,151224093,151181052,-,0.1863
CCDC8,ENSG00000169515,19,46413564,46410329,-,
CCL2,ENSG00000108691,17,34257203,34255218,+,0.0281
CCN2,ENSG00000118523,6,131951372,131948176,-,-0.0318
CCNA1,ENSG00000133101,13,36442870,36431520,+,
CCNA2,ENSG00000145386,4,121823933,121816444,-,0.5474
CCNB1,ENSG00000134057,5,69178245,69167135,+,0.3168
CCNB1IP1,ENSG00000100814,14,20333312,20311368,-,-0.034
CCNB2,ENSG00000157456,15,59125045,59105126,+,0.5028
CCNB3,ENSG00000147082,X,50351910,50202713,+,
CCNC,ENSG00000112237,6,99568825,99542387,-,0.2817
CCND1,ENSG00000110092,11,69654474,69641087,+,-0.0499
CCND2,ENSG00000118971,12,4305353,4273762,+,0.4538
CCND3,ENSG00000112576,6,42050357,41934933,-,-0.26
CCNDBP1,ENSG00000166946,15,43197177,43185118,+,-0.1754
CCNE1,ENSG00000105173,19,29824312,29811991,+,0.1514
CCNE2,ENSG00000175305,8,94896678,94879770,-,0.1768
CCNF,ENSG00000162063,16,2458854,2429394,+,0.1655
CCNG1,ENSG00000113328,5,163446151,163437569,+,-0.0009
CCNG2,ENSG00000138764,4,77433388,77157207,+,-0.0014
CCNH,ENSG00000134480,5,87412930,87318416,-,0.0518
CCNI,ENSG00000118816,4,77075989,77047155,-,-0.0233
CCNI2,ENSG00000205089,5,132754403,132747445,+,0.0015
CCNJ,ENSG00000107443,10,96060870,96043394,+,-0.0512
CCNJL,ENSG00000135083,5,160345396,160249106,-,-0.039
CCNK,ENSG00000090061,14,99535044,99481169,+,0.0054
CCNL1,ENSG00000163660,3,157160760,157146508,-,-0.0233
CCNL2,ENSG00000221978,1,1399335,1385711,-,-0.2202
CCNO,ENSG00000152669,5,55233608,55231152,-,
CCNQ,ENSG00000262919,X,153600045,153587925,-,-0.0337
CCNT1,ENSG00000129315,12,48716998,48688458,-,-0.0517
CCNT2,ENSG00000082258,2,134959342,134918235,+,-0.054
CCNY,ENSG00000108100,10,35572669,35247025,+,0.0042
CCNYL1,ENSG00000163249,2,207761839,207711540,+,0.0009
CCNYL2,ENSG00000182632,10,42475349,42408168,-,
CCNYL3,ENSG00000216671,16,35084313,35040164,+,
CCP110,ENSG00000103540,16,19553408,19523811,+,-0.0947
CCPG1,ENSG00000260916,15,55408510,55340032,-,0.0401
CCSAP,ENSG00000154429,1,229343294,229321011,-,-0.0927
CD28,ENSG00000178562,2,203738912,203706475,+,-0.0019
CD2AP,ENSG00000198087,6,47627263,47477789,+,0.1293
CDC123,ENSG00000151465,10,12250589,12195965,+,0.1352
CDC14A,ENSG00000079335,1,100520277,100345001,+,-0.1123
CDC14B,ENSG00000081377,9,96619843,96490241,-,-0.0644
CDC14C,ENSG00000218305,7,48927454,48919765,+,-0.0566
CDC16,ENSG00000130177,13,114272723,114234887,+,0.0322
CDC23,ENSG00000094880,5,138213343,138187650,-,-0.003
CDC25A,ENSG00000164045,3,48188417,48157146,-,0.2439
CDC25B,ENSG00000101224,20,3806121,3786772,+,-0.004
CDC25C,ENSG00000158402,5,138338355,138285265,-,0.3295
CDC26,ENSG00000176386,9,113275572,113255835,-,-0.1189
CDC27,ENSG00000004897,17,47189422,47117703,-,0.1003
CDC34,ENSG00000099804,19,542092,531760,+,0.1136
CDC37,ENSG00000105401,19,10420121,10391133,-,-0.0635
CDC42,ENSG00000070831,1,22101360,22025511,+,-0.05
CDC45,ENSG00000093009,22,19520612,19479457,+,0.4893
CDC5L,ENSG00000096401,6,44450425,44387706,+,-0.088
CDC6,ENSG00000094804,17,40304657,40287879,+,0.5918
CDC7,ENSG00000097046,1,91525764,91500851,+,0.1729
CDC73,ENSG00000134371,1,193254815,193121958,+,0.0124
CDCA2,ENSG00000184661,8,25507911,25459199,+,0.4829
CDCA3,ENSG00000111665,12,6852066,6844793,-,0.4917
CDCA5,ENSG00000146670,11,65084164,65066300,-,0.4781
CDCA8,ENSG00000134690,1,37709719,37692481,+,0.3422
